scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-tag,Sandbox,12,10,2,22,"Atre: Dominance Wars, The Secret Story Night Shift, Thug Life"
all-games,raw-tag,Inventory Management,11,11,0,22,"Fright Train, Hello World, Sexorcism: Lust Confession"
all-games,raw-tag,Roguelite,14,7,7,21,"Fright Train, Siege of Acres, Dicebinder"
all-games,raw-tag,Puzzle,12,9,3,21,"Back To The Collis, Defend Your Land, Kingdomino"
all-games,raw-tag,Roguelike,10,11,-1,21,"Apple Man Sam, Chernobots, Demon Hunters"
all-games,raw-tag,Tactical,10,11,-1,21,"Hello World, Joker Madness 🃏, Mothership Down"
all-games,raw-tag,Gambling,1,19,-18,20,"Dicesworn, Shells Shooter, Pegs X Stickers"
all-games,raw-tag,Local Multiplayer,11,9,2,20,"Adrift: In the Corners of Time, 郑成功传 Clash of Armadas: Koxinga, Kingdomino"
all-games,raw-tag,Job Simulator,16,3,13,19,"Extreme Forklifting 3, 86'd, Mermaids are Seafood"
all-games,raw-tag,Linear,5,14,-9,19,"Caribbean Tide, Smoking Gun, Blenderman"
all-games,raw-tag,Management,14,5,9,19,"86'd, Loot Goblin, Valefor 2"
all-games,raw-tag,Psychological Horror,13,6,7,19,"Homeless, Lens Of Fear, The Secret Story Night Shift"
all-games,raw-tag,Open World,7,12,-5,19,"Greed Hunters, Hope in the City, Piroot"
all-games,raw-tag,Interactive Fiction,11,8,3,19,"Hope in the City, The Secret Story Night Shift, The Three Kingdoms of Shadows: Xuzhou"
all-games,raw-tag,Minimalist,11,8,3,19,"Second Chance at a Billion, Tiny Train Tycoon, Under Protocol"
all-games,raw-tag,Realistic,10,9,1,19,"Frutiger Home, Siege of Acres, Smoking Gun"
all-games,raw-tag,Nature,7,11,-4,18,"Frutiger Home, Hello World, Thug Life"
all-games,raw-tag,Cartoony,10,8,2,18,"Fright Train, Race Jam, Blenderman"
all-games,raw-tag,Crafting,8,10,-2,18,"Hello World, 帝王霸业, Habitat Toxica"
all-games,raw-tag,Horror,10,8,2,18,"Fright Train, The Secret Story Night Shift, DEATH STRANDING 2: ON THE BEACH"
all-games,raw-tag,Survival,10,8,2,18,"Fright Train, Hakimi Blaster - Hakimi Survivors, Blenderman"
all-games,raw-tag,Resource Management,11,6,5,17,"FULL METAL COFFIN, Dicebinder, DopeNet"
all-games,raw-tag,Action RPG,8,9,-1,17,"The Secret Story Night Shift, Dungeonfall, Law of Demons"
all-games,raw-tag,Futuristic,9,8,1,17,"FULL METAL COFFIN, Hello World, Hyperlane Highway"
all-games,raw-tag,LGBTQ+,9,8,1,17,"Rune Factory 5, SILENT HILL: Townfall, Sexorcism: Lust Confession"
all-games,raw-tag,Turn-Based Tactics,8,9,-1,17,"Hello World, Joker Madness 🃏, 星火燎原"
all-games,raw-tag,Hentai,11,5,6,16,"Cry of Fear, Poker Night at the Inventory, SPLITGATE: Arena Reloaded"
all-games,raw-tag,Magic,10,6,4,16,"Dark Age Dinos, 帝王霸业, Demon Hunters"
