dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,Building,building,Other,5,9,-4,14,-0.7500,0.2500,1.0000,"Extreme Forklifting 3, Hello World, Mothership Down"
tag,raw-tag,Bullet Hell,bullet hell,Other,10,4,6,14,0.5000,0.0000,-0.5000,"Apple Man Sam, Demon Hunters, Hyperlane Highway"
tag,raw-tag,Bullet Time,bullet time,Other,4,1,3,5,0.0000,0.5000,0.5000,"Hyperlane Highway, LEAF, Kleopatra"
tag,raw-tag,Capitalism,capitalism,Other,2,1,1,3,0.0000,0.5000,0.5000,"Land Of Opportunities, Raccoon Valley Tycoon, Big Dig"
tag,raw-tag,Card Battler,card battler,Other,2,1,1,3,0.0000,0.0000,0.0000,"Valefor 2, Out of the Park Baseball 27, Joker Madness 🃏"
tag,raw-tag,Card Game,card game,Other,3,0,3,3,0.2500,0.5000,0.2500,"Dicebinder, Sexorcism: Lust Confession, Ritualist"
tag,raw-tag,Cartoon,cartoon,Other,5,7,-2,12,0.0000,-0.2500,-0.2500,"The Secret Story Night Shift, Blenderman, Clicker Clicker Treasure Picker"
tag,raw-tag,Cartoony,cartoony,Other,10,8,2,18,0.2500,0.0000,-0.2500,"Fright Train, Race Jam, Blenderman"
tag,raw-tag,Casual,casual,Indie & Casual,33,32,1,65,-0.5000,-1.0000,-0.5000,"A Webbing Journey, DETOUR, Greed Hunters"
tag,raw-tag,Cats,cats,Other,3,2,1,5,0.0000,-0.5000,-0.5000,"My NEET Life, Habitat Toxica, Blacksad: Under the Skin"
tag,raw-tag,Character Action Game,character action game,Other,0,2,-2,2,0.0000,-0.5000,-0.5000,"ワンコワンコ大作戦, Dogwood"
tag,raw-tag,Character Customization,character customization,RPG & Fantasy,14,10,4,24,-0.2500,1.0000,1.2500,"Fright Train, Hyperlane Highway, Siege of Acres"
tag,raw-tag,Chess,chess,Other,1,0,1,1,0.0000,0.2500,0.2500,ChessBoyChess
tag,raw-tag,Choices Matter,choices matter,Adventure & Story,20,16,4,36,0.0000,-0.2500,-0.2500,"Caribbean Tide, Hakimi Blaster - Hakimi Survivors, Dicebinder"
tag,raw-tag,Choose Your Own Adventure,choose your own adventure,Other,4,5,-1,9,0.0000,-0.5000,-0.5000,"PatchWorld, Fool's Court, Moonlight Apothecary"
tag,raw-tag,Cinematic,cinematic,Other,8,6,2,14,0.0000,0.2500,0.2500,"Hope in the City, Red: Flame & Fable, The Secret Story 1996"
